%22Big%22_Donnie_MacLeod Progressive_Conservative_Association_of_Nova_Scotia
A.F.M_Ruhal_Haque Bangladesh_Awami_League
A.K._Balan Communist_Party_of_India
A.K._Golam_Jilani All_India_Muslim_League
A.K._Golam_Jilani Bengal_Nationalist_Muslim_Party
A.N._Shamseer Communist_Party_of_India
A.P._Anil_Kumar Indian_Youth_Congress
A.P._Anil_Kumar__INC-politician-stub__1 Indian_National_Congress
A.T._Frank Democratic_Party
A._A._Fredericks Democratic_Party
A._A._MacLeod Labor-Progressive_Party
A._A._Pennington Democratic_Party
A._A._Purcell Labor_Party
A._A._Wijethunga United_National_Party
A._Amirthalingam Illankai_Tamil_Arasu_Kachchi
A._Andrews Republican_Party_of_Minnesota
A._Aravind_Kumar Up-Country_People's_Front
A._Arunmozhithevan All_India_Anna_Dravida_Munnetra_Kazhagam
A._Aslam_Basha Manithaneya_Makkal_Katchi
A._B._A._Ghani_Khan_Choudhury Indian_National_Congress
A._B._A._Ghani_Khan_Choudhury__INC-politician-stub__1 Indian_National_Congress
A._B._Colton Republican_Party
A._B._Franklin Democratic_Party
A._B._George Democratic_Party
A._B._Swindell United_States_Democratic_Party
A._Boyd_Ferris Liberal_Party_of_Canada
A._Brown_Moore Democratic_Party
A._C._Bearss National_Union_Party
A._C._Clemons Democratic_Party
A._C._Gibbs United_States_Republican_Party
A._C._Hamlin United_States_Republican_Party
A._C._Jose Indian_National_Congress
A._Carville_Foster Republican_Party
A._Chandranehru Illankai_Tamil_Arasu_Kachchi
A._Chandrasekaran Indian_National_Congress
A._Chellakumar Indian_National_Congress
A._Chinnasami Indian_National_Congress
A._Clifford_Jones Republican_Party
A._D._Patel National_Federation_Party
A._Dean_Jeffs Republican_Party
A._Deivanayagam Indian_National_Congress
A._Devaraj Anna_Dravida_Munnetra_Kazhagam
A._E._Silva Eelam_People's_Democratic_Party
A._E._Stubbs Labor_Party
A._Edison_Stairs Progressive_Conservative_Party_of_New_Brunswick
A._Ekanayake_Gunasinha Ceylon_Labour_Party
A._F._Golam_Osmani Indian_National_Congress
A._F._Golam_Osmani__INC-politician-stub__1 Indian_National_Congress
A._F._M._Ahsanuddin_Chowdhury Jatiya_Party
A._F._Maciejewski Democratic_Party
A._F._Vandeventer Democratic_Party
A._Felix_du_Pont Democratic_Party
A._G._Crowe Republican_Party
A._G._Kulkarni Indian_National_Congress
A._G._Lancione Democratic_Party
A._G._S._Ram_Babu Indian_National_Congress
A._G._Subburaman Indian_National_Congress
A._George_Pradel Independent
A._H._Greenhalgh Democratic_Party
A._H._M._Azwer Sri_Lanka_Freedom_Party
A._H._M._Fowzie Sri_Lanka_Freedom_Party
A._Harry_Moore Democratic_Party
A._Homer_Byington National_Union_Party
A._Homer_Byington Republican_Party
A._J._DeMedio Democratic_Party
A._J._Holloway Republican_Party
A._J._M._Muzammil United_National_Party
A._J._McNamara Democratic_Party
A._J._Mundella Liberal_Party
A._J._Ranasinghe United_National_Party
A._J._Spiker Republican_Party_of_Iowa
A._James_Manchin Democratic_Party
A._Jayamohan Indian_National_Congress
A._Jeff_McLemore Democratic_Party
A._Joseph_DeNucci Democratic_Party
A._Joseph_Valicenti Democratic_Party
A._K._A._Abdul_Samad Indian_Union_Muslim_League
A._K._A._Firoze_Noon Bangladesh_Nationalist_Party
A._K._Antony Indian_National_Congress
A._K._Antony Indian_National_Congress
A._K._Antony Congress
A._K._Fazlul_Huq Indian_National_Congress
A._K._Fazlul_Huq All-India_Muslim_League
A._K._Fazlul_Huq Krishak_Praja_Party
A._K._Gopalan Communist_Party_of_India
A._K._Gopalan Communist_Party_of_India
A._K._Khandker Awami_League
A._K._Moorthy Pattali_Makkal_Katchi
A._K._Premajam Communist_Party_of_India
A._K._Roy Marxist_Co-ordination_Committee
A._K._S._Vijayan Dravida_Munnetra_Kazhagam
A._K._Saseendran Nationalist_Congress_Party
A._Krishnaswamy Dravida_Munnetra_Kazhagam
A._Krishnaveni Indian_National_Congress
A._L._Abdul_Majeed Sri_Lanka_Freedom_Party
A._L._M._Athaullah National_Congress
A._L._Philpott Democratic_Party
A._L._Ramakrishna_Naicker Indian_National_Congress
A._Latham_Staples Republican_Party
A._Latham_Staples Democratic_Party
A._Leonard_Allen United_States_Democratic_Party
A._Linwood_Holton_Jr. Republican_Party
A._Lloyd_MacDonald Nova_Scotia_Liberal_Party
A._M._Ariff Communist_Party_of_India
A._M._M._Naushad Sri_Lanka_Freedom_Party
A._M._Paraman Communist_Party_of_India
A._M._Ponnuranga_Mudaliar Indian_National_Congress
A._M._Starr Republican_Party
A._Manju Indian_National_Congress
A._Marimuthu Indian_National_Congress
A._Mitchell_Palmer Democratic_Party
A._N._Munirathinam Indian_National_Congress
A._N._R._Robinson Democratic_Action_Congress
A._N._R._Robinson People's_National_Movement
A._N._R._Robinson National_Alliance_for_Reconstruction
A._Navaneethakrishnan AIADMK
A._Nesamony Indian_National_Congress
A._P._Abdullakutty Indian_National_Congress
A._P._Abdullakutty Communist_Party_of_India
A._P._C._Veerabahu Indian_National_Congress
A._P._Herbert Independent_politician
A._P._Jayasuriya Sri_Lanka_Freedom_Party
A._P._Jayasuriya Independent_Politician
A._P._Lutali United_States_Democratic_Party
A._P._Patro Indian_National_Congress
A._P._Patro Justice_Party
A._P._Tugwell Democratic_Party
A._P._Tureaud Republican_Party
A._Paranjothy Illankai_Tamil_Arasu_Kachchi
A._Pauliah Indian_National_Congress
A._Perumal Indian_National_Congress
A._Piatt_Andrew Republican_Party
A._Pradeepkumar Communist_Party_of_India
A._Q._M._Badruddoza_Chowdhury Bikalpa_Dhara_Bangladesh
A._Q._M._Badruddoza_Chowdhury Bangladesh_Nationalist_Party
A._R._A._Hafeez Sri_Lanka_Muslim_Congress
A._R._Anjan_Umma National_Freedom_Front
A._R._Antulay Indian_National_Congress
A._R._Johnson Democratic_Party
A._R._M._Abdul_Cader United_People's_Freedom_Alliance
A._R._Marimuthu Indian_National_Congress
A._R._McCabe Democratic_Party
A._R._Subbiah_Mudaliar Indian_National_Congress
A._Ralph_Mollis Democratic_Party
A._Ranganatha_Mudaliar Indian_National_Congress
A._Ravichandran Marumalarchi_Dravida_Munnetra_Kazhagam
A._Ross_Webster Progressive_Conservative_Party_of_Canada
A._S._Bush Silver_Republican
A._S._J._Carnahan Democratic_Party
A._S._P._Liyanage Sri_Lanka_Labour_Party
A._S._Ponnammal Indian_National_Congress
A._S._Subbaraj Indian_National_Congress
A._Sampath Communist_Party_of_India
A._Samraj Indian_National_Congress
A._Scott_Sloan Republican_Party
A._Senapathi_Gounder Indian_National_Congress
A._Shane_Massey Republican_Party
A._Shanker_Alva Indian_National_Congress
A._Soundararajan Communist_Party_of_India
A._Subbarayalu_Reddiar Justice_Party
A._T._George Indian_National_Congress
A._T._Pannirselvam Justice_Party
A._T._Patil Bharatiya_Janata_Party
A._T._Sanders_Jr. Democratic_Party
A._Tamilarasi Dravida_Munnetra_Kazhagam
A._Thangathurai Tamil_United_Liberation_Front
A._Thiagarajah United_National_Party
A._V._Alexander,_1st_Earl_Alexander_of_Hillsborough Labour_Co-operative
A._V._Aryan Communist_Party_of_India
A._V._Bellarmin Communist_Party_of_India
A._V._Kulasingham All_Ceylon_Tamil_Congress
A._V._Thomas Indian_National_Congress
A._Vaikuntam Indian_National_Congress
A._Victor_Donahey Democratic_Party
A._Vijayakumar All_India_Anna_Dravida_Munnetra_Kazhagam
A._Vinayagamoorthy Tamil_National_Alliance
A._W._Norblad United_States_Republican_Party
A._W._Piper Socialist
A._W._Rabi_Bernard All_India_Anna_Dravida_Munnetra_Kazhagam
A._W._Sheldon Republican_Party
A._Walter_Norblad Republican_Party
A._Wesley_Stuart Liberal_Party_of_Canada
A._William_Sweeney Democratic_Party
AB_Tajul_Islam Bangladesh_Awami_League
AKM_Yusuf Bangladesh_Jamaat-e-Islami
ASHK_Sadek Bangladesh_Awami_League
A_C_Wharton Democratic_Party
A_J_M_Nasir_Uddin Bangladesh_Awami_League
A_R_Mallu Indian_National_Congress
Aadel_Lampe Liberal_Party
Aadel_Lampe Free-minded_Liberal_Party
Aadil_Sheegow_Sagaar Independent_politician
Aaja_Chemnitz_Larsen Inuit_Ataqatigiit
